Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-04-11T14:43:16.703717,1531.2,05.1093,0.72363,03.6905
2026-04-11T14:43:17.679055,1532.2,05.1062,0.85758,04.3736
2026-04-11T14:43:18.696685,1533.2,05.1116,0.72240,03.6914
2026-04-11T14:43:19.713375,1534.2,05.1098,0.78620,04.0096
2026-04-11T14:43:20.684584,1535.2,05.1096,0.75819,03.8667
2026-04-11T14:43:21.698540,1536.2,05.1098,0.83381,04.2524
2026-04-11T14:43:22.714268,1537.2,05.1094,0.72340,03.6893
2026-04-11T14:43:23.683412,1538.2,05.1093,0.82667,04.2160
2026-04-11T14:43:24.698957,1539.2,05.1086,0.72376,03.6911
2026-04-11T14:43:25.712776,1540.2,05.1117,0.72558,03.7077
2026-04-11T14:43:26.681530,1541.2,05.1087,0.82128,04.1885
2026-04-11T14:43:27.698318,1542.2,05.1094,0.72465,03.6957
2026-04-11T14:43:28.714320,1543.2,05.1088,0.83616,04.2644
2026-04-11T14:43:29.683463,1544.2,05.1087,0.76099,03.8810
2026-04-11T14:43:30.700516,1545.2,05.1092,0.78895,04.0236
2026-04-11T14:43:31.717722,1546.2,05.1091,0.72810,03.7133
2026-04-11T14:43:32.687211,1547.2,05.1119,0.77810,03.9760
2026-04-11T14:43:33.702457,1548.2,05.1123,0.70147,03.5845
2026-04-11T14:43:34.719141,1549.2,05.1092,0.76277,03.8901
2026-04-11T14:43:35.690730,1550.2,05.1094,0.79071,04.0326
2026-04-11T14:43:36.709427,1551.2,05.1093,0.74772,03.8133
2026-04-11T14:43:37.682649,1552.2,05.1093,0.75063,03.8282
2026-04-11T14:43:38.702185,1553.2,05.1090,0.75314,03.8410
2026-04-11T14:43:39.721402,1554.2,05.1093,0.74975,03.8237
2026-04-11T14:43:40.694004,1555.2,05.1093,0.70548,03.5979
2026-04-11T14:43:41.711046,1556.2,05.1089,0.81320,04.1473
2026-04-11T14:43:42.681563,1557.2,05.1087,0.69608,03.5500
2026-04-11T14:43:43.698986,1558.2,05.1050,0.77819,03.9687
2026-04-11T14:43:44.714661,1559.2,05.1059,0.74136,03.7809
2026-04-11T14:43:45.684684,1560.2,05.1089,0.82005,04.1822
2026-04-11T14:43:46.702688,1561.2,05.1091,0.70311,03.5858
2026-04-11T14:43:47.719429,1562.2,05.1092,0.76827,03.9181
2026-04-11T14:43:48.692265,1563.2,05.1091,0.70530,03.5970
2026-04-11T14:43:49.710470,1564.2,05.1089,0.70295,03.5850
2026-04-11T14:43:50.681783,1565.2,05.1090,0.80687,04.1150
2026-04-11T14:43:51.699347,1566.2,05.1089,0.70197,03.5800
2026-04-11T14:43:52.713952,1567.2,05.1089,0.70579,03.5995
2026-04-11T14:43:53.682835,1568.2,05.1086,0.73939,03.7708
2026-04-11T14:43:54.697814,1569.2,05.1094,0.77666,03.9609
2026-04-11T14:43:55.714511,1570.2,05.1084,0.70156,03.5779
2026-04-11T14:43:56.684155,1571.2,05.1081,0.85129,04.3415
2026-04-11T14:43:57.704081,1572.2,05.1120,0.70368,03.5958
2026-04-11T14:43:58.722123,1573.2,05.1082,0.74784,03.8139
2026-04-11T14:43:59.695027,1574.2,05.1083,0.70362,03.5884
2026-04-11T14:44:00.712299,1575.2,05.1086,0.81872,04.1754
2026-04-11T14:44:01.682844,1576.2,05.1091,0.70512,03.5961
2026-04-11T14:44:02.701447,1577.2,05.1094,0.76102,03.8812
2026-04-11T14:44:03.716340,1578.2,05.1111,0.75077,03.8364
2026-04-11T14:44:04.687737,1579.2,05.1091,0.70076,03.5738
2026-04-11T14:44:05.706522,1580.2,05.1091,0.81831,04.1733
2026-04-11T14:44:06.722891,1581.2,05.1089,0.70241,03.5822
2026-04-11T14:44:07.694057,1582.2,05.1090,0.75136,03.8319
2026-04-11T14:44:08.710108,1583.2,05.1087,0.70327,03.5866
2026-04-11T14:44:09.724370,1584.2,05.1090,0.81489,04.1559
2026-04-11T14:44:10.695790,1585.2,05.1061,0.70310,03.5858
2026-04-11T14:44:11.713682,1586.2,05.1122,1.21629,06.2152
2026-04-11T14:44:12.684415,1587.2,05.1008,1.57458,08.0303
2026-04-11T14:44:13.701741,1588.2,05.1311,0.74204,03.8066
2026-04-11T14:44:14.720565,1589.2,05.1092,0.73925,03.7701
2026-04-11T14:44:15.693235,1590.2,05.1094,0.73518,03.7494
2026-04-11T14:44:16.714628,1591.2,05.1092,0.73074,03.7267
2026-04-11T14:44:17.688040,1592.2,05.1091,0.72896,03.7176
2026-04-11T14:44:18.707624,1593.2,05.1090,0.84415,04.3051
2026-04-11T14:44:19.728493,1594.2,05.1093,0.72345,03.6895
2026-04-11T14:44:20.704119,1595.2,05.1093,0.83829,04.2752
2026-04-11T14:44:21.722770,1596.2,05.1093,0.72319,03.6882
2026-04-11T14:44:22.695513,1597.2,05.1094,0.82606,04.2129
2026-04-11T14:44:23.715478,1598.2,05.1091,0.72647,03.7049
2026-04-11T14:44:24.688514,1599.2,05.1085,0.79138,04.0360
2026-04-11T14:44:25.708444,1600.2,05.1081,0.72695,03.7074
2026-04-11T14:44:26.726295,1601.2,05.1080,0.74026,03.7753
2026-04-11T14:44:27.699354,1602.2,05.1130,0.78808,04.0270
2026-04-11T14:44:28.717832,1603.2,05.1084,0.70153,03.5778
2026-04-11T14:44:29.690011,1604.2,05.1089,0.70478,03.5943
2026-04-11T14:44:30.708233,1605.2,05.1087,0.79168,04.0375
2026-04-11T14:44:31.725303,1606.2,05.1087,0.79530,04.0560
2026-04-11T14:44:32.695979,1607.2,05.1047,0.70211,03.5807
2026-04-11T14:44:33.713391,1608.2,05.1059,0.86036,04.3878
2026-04-11T14:44:34.685570,1609.2,05.1083,0.70532,03.5971
2026-04-11T14:44:35.704735,1610.2,05.1082,0.76863,03.9200
2026-04-11T14:44:36.724843,1611.2,05.1081,0.76674,03.9103
2026-04-11T14:44:37.698702,1612.2,05.1094,0.81872,04.1754
2026-04-11T14:44:38.717585,1613.2,05.1072,0.70625,03.6018
2026-04-11T14:44:39.690174,1614.2,05.1083,0.73134,03.7298
2026-04-11T14:44:40.711086,1615.2,05.1079,0.74229,03.7856
2026-04-11T14:44:41.728065,1616.2,05.1082,0.70657,03.6035
2026-04-11T14:44:42.700646,1617.2,05.1082,0.81698,04.1665
2026-04-11T14:44:43.720976,1618.2,05.1091,0.70330,03.5868
2026-04-11T14:44:44.691962,1619.2,05.1066,0.77818,03.9687
2026-04-11T14:44:45.708340,1620.2,05.1085,0.70022,03.5711
2026-04-11T14:44:46.727487,1621.2,05.1051,0.83537,04.2603
2026-04-11T14:44:47.702863,1622.2,05.1082,0.70523,03.5966
2026-04-11T14:44:48.720428,1623.2,05.1076,0.78428,03.9998
2026-04-11T14:44:49.692667,1624.2,05.1087,0.72937,03.7197
2026-04-11T14:44:50.711530,1625.2,05.1084,0.71401,03.6414
2026-04-11T14:44:51.733605,1626.2,05.1062,0.70405,03.5906
2026-04-11T14:44:52.708909,1627.2,05.1123,0.77932,03.9823
2026-04-11T14:44:53.726228,1628.2,05.1083,0.72992,03.7225
