Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-04-11T13:12:41.869422,4083.5,05.1086,0.70391,03.5899
2026-04-11T13:12:42.838702,4084.5,05.1089,0.66176,03.3749
2026-04-11T13:12:43.853570,4085.5,05.1088,0.70431,03.5919
2026-04-11T13:12:44.869258,4086.5,05.1087,0.77836,03.9696
2026-04-11T13:12:45.840058,4087.5,05.1085,0.74257,03.7871
2026-04-11T13:12:46.857831,4088.5,05.1085,0.71028,03.6224
2026-04-11T13:12:47.830483,4089.5,05.1088,0.82120,04.1881
2026-04-11T13:12:48.847379,4090.5,05.1090,0.70556,03.5983
2026-04-11T13:12:49.865569,4091.5,05.1092,0.79589,04.0590
2026-04-11T13:12:50.838177,4092.5,05.1095,0.71040,03.6230
2026-04-11T13:12:51.854050,4093.5,05.1097,0.81768,04.1701
2026-04-11T13:12:52.871992,4094.5,05.1099,0.70309,03.5857
2026-04-11T13:12:53.840450,4095.5,05.1099,0.79159,04.0371
2026-04-11T13:12:54.858156,4096.5,05.1081,0.75237,03.8370
2026-04-11T13:12:55.829586,4097.5,05.1091,0.70229,03.5816
2026-04-11T13:12:56.847936,4098.5,05.1088,0.82026,04.1833
2026-04-11T13:12:57.863001,4099.5,05.1090,0.76777,03.9156
2026-04-11T13:12:58.836293,4100.5,05.1094,0.70912,03.6165
2026-04-11T13:12:59.854265,4101.5,05.1094,0.70446,03.5927
2026-04-11T13:13:00.875829,4102.5,05.1093,0.81994,04.1816
2026-04-11T13:13:01.849066,4103.5,05.1069,0.70452,03.5930
2026-04-11T13:13:02.865134,4104.5,05.1116,0.73483,03.7549
2026-04-11T13:13:03.837316,4105.5,05.1092,0.70332,03.5869
2026-04-11T13:13:04.855338,4106.5,05.1092,0.81867,04.1752
2026-04-11T13:13:05.873607,4107.5,05.1064,0.70775,03.6095
2026-04-11T13:13:06.845717,4108.5,05.1103,0.72951,03.7277
2026-04-11T13:13:07.861744,4109.5,05.1089,0.78179,03.9871
2026-04-11T13:13:08.832973,4110.5,05.1092,0.70814,03.6115
2026-04-11T13:13:09.850987,4111.5,05.1078,0.83791,04.2733
2026-04-11T13:13:10.868780,4112.5,05.1094,0.70290,03.5847
2026-04-11T13:13:11.838421,4113.5,05.1099,0.77895,03.9726
2026-04-11T13:13:12.857860,4114.5,05.1044,1.04558,05.3324
2026-04-11T13:13:13.873686,4115.5,05.1100,0.88998,04.5477
2026-04-11T13:13:14.844877,4116.5,05.1102,0.87720,04.4824
2026-04-11T13:13:15.861766,4117.5,05.1091,1.06366,05.4246
2026-04-11T13:13:16.834333,4118.5,05.1094,0.83959,04.2819
2026-04-11T13:13:17.851922,4119.5,05.1136,0.80282,04.1024
2026-04-11T13:13:18.868528,4120.5,05.1211,0.96064,04.9184
2026-04-11T13:13:19.840431,4121.5,05.1034,0.71181,03.6302
2026-04-11T13:13:20.857984,4122.5,05.1089,1.03414,05.2741
2026-04-11T13:13:21.874837,4123.5,05.1141,1.02047,05.2146
2026-04-11T13:13:22.845907,4124.5,05.0961,0.84498,04.3009
2026-04-11T13:13:23.864853,4125.5,05.1134,0.89992,04.5985
2026-04-11T13:13:24.836878,4126.5,05.1116,1.09067,05.5733
2026-04-11T13:13:25.852803,4127.5,05.1114,1.05016,05.3663
2026-04-11T13:13:26.870994,4128.5,05.1111,0.80003,04.0881
2026-04-11T13:13:27.841528,4129.5,05.1107,1.02995,05.2630
2026-04-11T13:13:28.858350,4130.5,05.1104,0.73280,03.7446
2026-04-11T13:13:29.873797,4131.5,05.1100,0.73610,03.7614
2026-04-11T13:13:30.843488,4132.5,05.1099,0.83258,04.2461
2026-04-11T13:13:31.861929,4133.5,05.1075,0.73297,03.7381
2026-04-11T13:13:32.880821,4134.5,05.1095,0.88771,04.5273
2026-04-11T13:13:33.855004,4135.5,05.1092,0.75332,03.8419
2026-04-11T13:13:34.873109,4136.5,05.1114,0.73584,03.7601
2026-04-11T13:13:35.845470,4137.5,05.1092,0.72881,03.7169
2026-04-11T13:13:36.865903,4138.5,05.1093,0.84341,04.3013
2026-04-11T13:13:37.839418,4139.5,05.1092,0.75353,03.8430
2026-04-11T13:13:38.857101,4140.5,05.1116,0.72862,03.7232
2026-04-11T13:13:39.871793,4141.5,05.1116,0.75783,03.8725
2026-04-11T13:13:40.842375,4142.5,05.1095,0.72931,03.7194
2026-04-11T13:13:41.858949,4143.5,05.1098,0.84286,04.2985
2026-04-11T13:13:42.877428,4144.5,05.1099,0.74170,03.7826
2026-04-11T13:13:43.849846,4145.5,05.1095,0.82274,04.1959
2026-04-11T13:13:44.867425,4146.5,05.1131,0.72969,03.7287
2026-04-11T13:13:45.840594,4147.5,05.1096,0.83770,04.2722
2026-04-11T13:13:46.858837,4148.5,05.1095,0.73670,03.7571
2026-04-11T13:13:47.875837,4149.5,05.1096,0.75615,03.8563
2026-04-11T13:13:48.847218,4150.5,05.1069,0.83761,04.2718
2026-04-11T13:13:49.866557,4151.5,05.1106,0.81752,04.1775
2026-04-11T13:13:50.839554,4152.5,05.1094,0.72983,03.7221
2026-04-11T13:13:51.860391,4153.5,05.1091,0.72645,03.7048
2026-04-11T13:13:52.879796,4154.5,05.1084,0.84042,04.2861
2026-04-11T13:13:53.854106,4155.5,05.1084,0.72680,03.7066
2026-04-11T13:13:54.875736,4156.5,05.1092,0.84704,04.3199
2026-04-11T13:13:55.850067,4157.5,05.1092,0.72567,03.7009
2026-04-11T13:13:56.869439,4158.5,05.1094,0.72567,03.7009
2026-04-11T13:13:57.843257,4159.5,05.1092,0.72505,03.6977
2026-04-11T13:13:58.864302,4160.5,05.1093,0.72435,03.6941
2026-04-11T13:13:59.883025,4161.5,05.1091,0.72350,03.6898
2026-04-11T13:14:00.855348,4162.5,05.1094,0.58367,02.9767
2026-04-11T13:14:01.875663,4163.5,05.1092,0.79620,04.0606
2026-04-11T13:14:02.850417,4164.5,05.1067,0.75494,03.8501
2026-04-11T13:14:03.870181,4165.5,05.1114,0.81719,04.1758
2026-04-11T13:14:04.843696,4166.5,05.1090,0.70362,03.5884
2026-04-11T13:14:05.861638,4167.5,05.1090,0.76038,03.8779
2026-04-11T13:14:06.882899,4168.5,05.1080,0.71839,03.6637
2026-04-11T13:14:07.856656,4169.5,05.1092,0.70663,03.6038
2026-04-11T13:14:08.877032,4170.5,05.1095,0.82618,04.2135
2026-04-11T13:14:09.851445,4171.5,05.1094,0.70752,03.6083
2026-04-11T13:14:10.870002,4172.5,05.1095,0.77619,03.9585
2026-04-11T13:14:11.886002,4173.5,05.1096,0.70576,03.5993
2026-04-11T13:14:12.856048,4174.5,05.1067,0.81751,04.1693
2026-04-11T13:14:13.875668,4175.5,05.1089,0.70590,03.6000
2026-04-11T13:14:14.847706,4176.5,05.1097,0.74083,03.7782
2026-04-11T13:14:15.867296,4177.5,05.1098,0.76763,03.9149
2026-04-11T13:14:16.885366,4178.5,05.1095,0.70638,03.6025
2026-04-11T13:14:17.857525,4179.5,05.1098,0.70509,03.5959
2026-04-11T13:14:18.877891,4180.5,05.1095,0.74380,03.7933
2026-04-11T13:14:19.850210,4181.5,05.1094,0.78146,03.9854
2026-04-11T13:14:20.869749,4182.5,05.1126,0.70635,03.6094
2026-04-11T13:14:21.886734,4183.5,05.1092,0.81541,04.1585
2026-04-11T13:14:22.859466,4184.5,05.1091,0.70417,03.5912
2026-04-11T13:14:23.877610,4185.5,05.1045,0.74520,03.8005
2026-04-11T13:14:24.848530,4186.5,05.1101,0.70408,03.5978
2026-04-11T13:14:25.865925,4187.5,05.1094,0.81698,04.1665
2026-04-11T13:14:26.883658,4188.5,05.1095,0.70573,03.5992
2026-04-11T13:14:27.854242,4189.5,05.1094,0.72378,03.6912
2026-04-11T13:14:28.875795,4190.5,05.1059,0.86080,04.3900
2026-04-11T13:14:29.847423,4191.5,05.1092,0.75612,03.8562
2026-04-11T13:14:30.864672,4192.5,05.1039,1.22006,06.2223
2026-04-11T13:14:31.882337,4193.5,05.1091,0.70887,03.6152
2026-04-11T13:14:32.853515,4194.5,05.1091,1.08800,05.5488
2026-04-11T13:14:33.868803,4195.5,05.1089,0.76694,03.9113
2026-04-11T13:14:34.889007,4196.5,05.1073,0.87946,04.4852
2026-04-11T13:14:35.859554,4197.5,05.1055,0.98388,05.0177
2026-04-11T13:14:36.876564,4198.5,05.1091,0.93255,04.7560
2026-04-11T13:14:37.850228,4199.5,05.1103,0.80004,04.0882
2026-04-11T13:14:38.867889,4200.5,05.1055,1.09952,05.6075
2026-04-11T13:14:39.886975,4201.5,05.1045,1.04453,05.3271
2026-04-11T13:14:40.861035,4202.5,05.1096,0.96338,04.9132
2026-04-11T13:14:41.879995,4203.5,05.1069,1.03364,05.2715
2026-04-11T13:14:42.852302,4204.5,05.0997,0.80653,04.1052
2026-04-11T13:14:43.871606,4205.5,05.1112,0.89734,04.5854
2026-04-11T13:14:44.893076,4206.5,05.1051,1.08639,05.5405
